grade,book_name,lecture_no,lecture_title,section_label,section_level,page_no,question_no,star_level,ocr_confidence,has_diagram,text_length_chars,text_length_band,topic_domain,structure_signals,quality_flags,knowledge_anchor_terms,dim5_reference_band,dim5_reference_sublevel,match_safety_level,dim4_reference_level_skeleton,dim4_auto_calibration_allowed,question_text,source_pdf
3,竞赛数学导引 三年级,1,四则运算一,拓展篇,extension,18,1,★,0.933,False,42,short,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,计算：（1）51十62+49+38； (2) 64+127+129+23+71+136.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,拓展篇,extension,18,2,★★,0.9599,False,58,medium,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,计算：(1)2+13+224+3330+6670+676+87+8； (2) 73+119+231+69+381+17.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,拓展篇,extension,18,3,★★,0.9126,False,46,medium,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,计算：（1）82-29-22+259； (2)375—138+247—175+139—237.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,拓展篇,extension,19,4,★★,0.9064,False,61,medium,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,计算：(1）162—(162—135)—(35—19)； (2)163—(50—18)—(153—76)+(124—18).,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,拓展篇,extension,19,5,★★,0.9236,False,35,short,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,计算：(1）999+599+199； (2)3996+449+98+9.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,拓展篇,extension,19,6,★★,0.9231,False,35,short,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,计算：(1）1365一598； (2)1206—199—297—398.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,拓展篇,extension,19,7,★★,0.9087,False,78,medium,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,请大家先不要动笔，看能不能把下面的题目直接口算出来： (1) 93 570-93 534； (2) 45 235—38 235； (3) 465+197; (4) 465—197.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,拓展篇,extension,19,8,★★,0.9066,False,47,medium,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,计算：（1）280-24—76-65-35； (2) 267—162+84—38—147+116.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,拓展篇,extension,20,9,★★,0.8905,False,42,short,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,计算：(1)267—136+36—167； (2)325—251—34+151—66.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,拓展篇,extension,20,10,★★,0.9779,False,74,medium,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,"（1）在加法算式中，如果一个加数增加10，另一个加数减少5，两数的和如何变化？ (2）在减法算式中，如果被减数增加15，差减少8,那么减数应如何变化？",C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,拓展篇,extension,20,11,★★,0.9072,False,46,medium,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,计算：(1)38+83-55； (2) (235+523+352)—(111+333+555).,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,拓展篇,extension,20,12,,0.9409,False,48,medium,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,计算：(1)246+462+624-888； (2) 125—24+251—240+512—402.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,拓展篇,extension,20,13,,0.9276,False,73,medium,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,计算：(1)11-10+9-8+7—6+5-4+3-2+1； (2) 100+102—104+106—108+110—112+114—116+118.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,拓展篇,extension,"20,21",14,,0.9312,False,87,medium,calculation,,cross_page_question,四则运算一|计算问题|calculation,4年级及以前高思导引拓展篇及以下难度,mid,review,L3,False,计算：(1)21—20+19—18+17—16+15—14+13—12+11； (2)12+23—34+45—56+67—78+89—78+67—56+45-34+23+12.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,超越篇,challenge,21,1,★,0.9493,False,90,long,calculation,,,四则运算一|calculation,高思导引超越篇难度,high,auto,L4,False,"计算下面4个算式： 1+2+1, 1+2+3+2+1， 1+2+3+4+3+2+1， 1+2+3+4+5+4+3+2+1. 观察这4个算式的结果，并找出规律，再用这个规律求出下面算式的结果：",C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,超越篇,challenge,21,2,,0.9192,False,35,short,calculation,,,四则运算一|calculation,高思导引超越篇难度,high,auto,L4,False,计算：364—(476-187)+213—(324—236)—150.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,超越篇,challenge,21,3,,0.9832,True,152,very_long,calculation,,has_diagram,四则运算一|calculation,高思导引超越篇难度,high,review,L4,False,"如图1-1，教室里有4个书柜，每个书柜里都有4 格书，图中标明了每格内书的册数.一天，老师问小高和墨 莫：“不许用加法计算，你们马上回答，这4个书柜里，哪一个 书柜里的书多一些？""两个人看了看书柜上标出的数，想了 想齐声说：“4个书柜里的书同样多！""老师高兴地说：“完全 正确！”请你说一说他们是怎样想的？ 图1-1",C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,超越篇,challenge,22,4,,0.9368,False,33,short,calculation,,,四则运算一|calculation,高思导引超越篇难度,high,auto,L4,False,计算：3355+4466+9977—3366-4477—9955.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,超越篇,challenge,22,5,★,0.9458,False,102,long,calculation,,,四则运算一|calculation,高思导引超越篇难度,high,auto,L4,False,已知1234十2345十3456十4567十5678—6543—5432—4321的计算结果是984.请 问：1244十2355十3466十4577十5688—6513—5412—4311的计算结果是多少?,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,超越篇,challenge,22,6,★,0.9768,True,53,medium,calculation,,has_diagram,四则运算一|calculation,高思导引超越篇难度,high,review,L4,False,如图1-2，除第一行外，每个圆圈中的数都等于它上面两个圆圈中数的和，请计算 最下面的圆圈中应填的数. 图1-2,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,超越篇,challenge,22,7,,0.9926,True,100,long,calculation,,has_diagram,四则运算一|calculation,高思导引超越篇难度,high,review,L4,False,如图1-3，老师将9个数写在一个九宫格里，让同学们选数，每个同学可以从中选 5个数来求和.小高选的5个数的和是120，墨莫选的5个数的和是111.如果两人选的数中只 有一个是一样的，这个数是多少？ 图1-3,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,超越篇,challenge,22,8,★,0.9196,False,47,medium,calculation,,,四则运算一|计算问题|calculation,高思导引超越篇难度,high,auto,L4,False,计算：8457—（7630—4578)十（7845—3076)—（6307—5784)—763,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,兴趣篇,interest,23,1,★,0.997,False,29,short,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,小山羊一天吃5块巧克力蛋糕，那么它3天吃多少块巧克力蛋糕？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,兴趣篇,interest,23,2,★,0.9946,False,27,short,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,墨莫每天做4道数学题，那么他做28道数学题需要多少天？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,兴趣篇,interest,23,3,★,0.9987,False,51,medium,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,班主任老师给同学们排座位，每排都恰好有3名男生和4名女生.如果女生一共有 32名，那么男生一共有多少名？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,兴趣篇,interest,24,4,★★,0.9844,False,56,medium,application,defined_operation,,基本应用题|application|defined_operation,4年级及以前高思导引拓展篇及以下难度,low,auto,L2,False,某班30名学生外出郊游，集体午餐时，规定：每人一碗饭，每2人一碗汤，每3人一 碗菜.这些学生一共需要使用多少个碗？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,兴趣篇,interest,24,5,★★,0.997,False,68,medium,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,甲仓库有大米2000千克，乙仓库有大米1000千克，如果每天将甲仓库的100千克 大米运到乙仓库，那么几天后甲仓库的大米和乙仓库的一样多？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,兴趣篇,interest,24,6,★★,0.9881,False,77,medium,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,墨莫在看一本总页数为150页的书.在第二周结束时他发现自已还没有看的页数 正好等于他第一周看的页数.已知墨莫在第二周看了24页，那么他在第一周看了多少页书？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,兴趣篇,interest,24,7,★★,0.9883,False,36,short,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,如果1个柚子能换4个苹果，2个苹果能换3个梨，那么2个柚子能换多少个梨？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,兴趣篇,interest,24,8,★★,0.9962,False,58,medium,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,如果买1把尺子的钱恰好可以买1块橡皮和2枝铅笔，买1枝铅笔的钱恰好可以 买2块橡皮，那么买4把尺子的钱可以买几枝铅笔？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,兴趣篇,interest,24,9,★★,0.9895,False,55,medium,application,travel_chain,,基本应用题|application|travel_chain,4年级及以前高思导引拓展篇及以下难度,low,auto,L2,False,墨莫4个小时完成了24道题目，按照这样的速度，他7个小时可以完成多少道题 目？如果要完成96道题目需要多长时间？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,兴趣篇,interest,24,10,★★,0.9849,False,36,short,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,某部队的一个连有3个排，每个排有4个班，每个班有5个人.这个连一顿饭吃了,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,拓展篇,extension,25,1,★,0.9967,False,44,short,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,刺猬和松鼠共采了88个坚果.刺猬采了8天，每天能采2个.松鼠采了9天，松鼠每 天能采几个？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,拓展篇,extension,25,2,★★,0.9981,False,61,medium,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,墨莫看一本漫画册，每天看同样多的页数，原计划5天看完.现在他每天比原计划 多看2页，结果提前一天看完.这本漫画册共有多少页？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,拓展篇,extension,25,3,★★,0.9919,False,96,long,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,mid,auto,L4,False,甲、乙、丙、丁四个小学生站成一横排，他们手中共拿着35枝花.已知站在甲右边的 学生共拿着16枝花，站在丙右边的学生共拿着4枝花，站在丁右边的学生共拿着25枝花.请 问：手中花最多的人拿着多少枝花？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,拓展篇,extension,25,4,★,0.993,False,87,medium,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,有黑、白两种棋子共300枚，按每堆3枚分成100堆.其中只有1枚白子的共27堆， 有2枚或3枚黑子的共42堆，有3枚白子的与有3枚黑子的堆数相等.在全部棋子中，白子共 有多少枚？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,拓展篇,extension,25,5,★★,0.9938,False,57,medium,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,如果1只小狗的重量等于3只小猫的重量，1只小猫的重量等于2只小鸭的重量， 那么24只小鸭的重量等于多少只小狗的重量？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,拓展篇,extension,25,6,★★,0.9967,False,93,long,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,mid,auto,L4,False,师傅和两个徒弟一起组装零件，师傅组装3个零件与大徒弟组装2个零件所用的 时间相同，而大徒弟组装3个零件与小徒弟组装1个零件所用的时间相同.请问：小徒弟组装 4个零件的时间师傅能组装几个零件？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,拓展篇,extension,26,7,,0.9972,False,97,long,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,mid,auto,L4,False,墨莫和卡莉娅一起到文具店买东西，两人一共带了22元钱.卡莉娅用她带的钱买 了8个作文本，墨莫用他带的钱买了6个单线本，他们的钱都刚好花完.已知买1个作文本的 买作文本，那么两人一共能买到多少个本子？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,拓展篇,extension,26,8,★★,0.9907,False,70,medium,application,travel_chain,,基本应用题|application|travel_chain,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,汽车厂8名工人每天生产汽车零件48个，按照这样的速度，10名工人3天能生产 多少个零件？如果要用5天的时间生产出300个零件，需要多少名工人？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,拓展篇,extension,26,9,★★,0.9957,False,58,medium,application,travel_chain,,基本应用题|application|travel_chain,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,3只老鼠5天偷吃了30个玉米.按照这样的速度，4只老鼠7天能偷吃多少个玉 米？10只老鼠要偷吃80个玉米，需要多少天？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,拓展篇,extension,26,10,★★,0.9881,False,52,medium,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,若干盏相同的电灯点亮5小时要用电40千瓦时，如果把其中一半的电灯关掉，那 么120千瓦时电可以用多少小时？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,拓展篇,extension,26,11,,0.9886,False,92,long,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,mid,auto,L4,False,海洋馆里有8只海象，总共运来170千克鱼给它们吃.假定每只海象每天吃鱼的 重量相同.前两天这8只海象共吃了80千克鱼，两天后其中的2只海象被运走了.那么剩下 的鱼还可以让留下的海象吃几天？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,拓展篇,extension,26,12,★★,0.9964,False,48,medium,application,,,基本应用题|application,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,一艘远洋轮船上共有30名海员，船上的淡水可供全体船员用40天.轮船离港10 供船上的人再用多少天？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,拓展篇,extension,26,13,,0.9959,False,51,medium,application,travel_chain,,基本应用题|application|travel_chain,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,3只猴子3天吃了3个桃子，按照这样的速度，6只猴子6天吃了几个桃子？9只 猴子要吃9个桃子，需要多少天？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,拓展篇,extension,27,14,,0.9995,False,55,medium,application,travel_chain,,基本应用题|application|travel_chain,4年级及以前高思导引拓展篇及以下难度,mid,auto,L3,False,9个人6天可以完成12件作品，按照这样的速度，3个人3天可以完成多少件作 品？21个人12天可以完成多少件作品？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,超越篇,challenge,27,1,,0.995,False,75,medium,application,,,基本应用题|application,高思导引超越篇难度,high,auto,L4,False,甲、乙、丙、丁、戊五名同学站成一排.已知丙在戊右边2米处，丁在甲右边3米处， 丙在丁右边6米处，戊在乙左边3米处.请问：最左边和最右边的同学相距多少米？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,超越篇,challenge,27,2,,0.9945,False,145,very_long,application,,,基本应用题|application,高思导引超越篇难度,high,auto,L4,False,某单位举办迎春茶话会，买来4箱同样重的苹果.从每箱取出10千克后，各箱所剩 的苹果重量之和，恰好等于原来3箱苹果的重量.原来每箱苹果重多少千克？ 150克.原来说好由每人自己付钱，可是卡莉娅没带钱.结果付款时小高付了12元钱，墨莫付 了10元钱.问：卡莉娅应该还给小高多少元钱？还给墨莫多少元钱？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,超越篇,challenge,"27,28",4,★,0.9957,False,154,very_long,application,,cross_page_question,基本应用题|application,高思导引超越篇难度,high,review,L4,False,小强要清点盒子中的画片，他叫来小红帮忙，两人同时开始数.小强比小红动作快， 小强数5张的时间小红只能数3张，但小强数到第30张时忘了数到几，只好把数过的画片全 部放回盒中，再从头开始数.当小强数到第120张时，盒子里恰好剩下2张画片.盒子里原来 有多少张画片？ 格卖出.如果要获利180元，老李需要买进多少千克柚子？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,超越篇,challenge,28,6,,0.9984,False,70,medium,application,,,基本应用题|application,高思导引超越篇难度,high,auto,L4,False,6辆卡车运送4趟可以运走沙石32吨，如果又开来12辆卡车，5趟可以运送沙石 多少吨？如果有400吨沙石需要10趟运完，那么一共需要多少辆卡车？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,2,基本应用题,超越篇,challenge,28,7,,0.9925,False,213,very_long,application,,,基本应用题|application,高思导引超越篇难度,high,auto,L4,False,"已知3名模范职工和6名普通职工8小时可以生产零件420个，现在有一批生产 任务，需要6名模范职工和12名普通职工生产14小时才能完成.如果工作了4小时后，又来 了4名模范职工和8名普通职工，可以提前几小时完成任务？ 怎样？”商人想考考他，说道：“一个苹果和一个梨价格相同，而且4千克苹果加上2个梨的价 钱与3千克梨加上4个苹果的价钱相同，2千克苹果加上2个梨的价钱与2千克梨的价钱也 相同.""请问：1千克梨有多少个？1千克苹果有多少个？",C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,3,枚举法一,兴趣篇,interest,29,1,★,0.9686,False,29,short,counting,,,枚举法一|counting,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,（1)1～20共有多少个数？（2)20～40共有多少个数？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,3,枚举法一,兴趣篇,interest,29,2,★,0.9916,True,34,short,counting,,has_diagram,枚举法一|counting,4年级及以前高思导引拓展篇及以下难度,low,review,L1,False,如图3-1所示，桌上有一些围棋子，其中有多少枚黑子？ 图3-1 图3-2,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,3,枚举法一,兴趣篇,interest,30,3,★,0.988,True,77,medium,geometry,,has_diagram,枚举法一|geometry,4年级及以前高思导引拓展篇及以下难度,low,review,L1,False,墨莫在一张纸上画了一些图形，如图3-2所示，每个图形都是由若干条线段连接组 成的.请你数一数，纸上一共有多少条线段？（最外面的大长方形是纸的边框，不算在内）,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,3,枚举法一,兴趣篇,interest,30,4,★,0.9953,False,47,medium,geometry,,,枚举法一|geometry,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,小明决定去香山、颐和园、圆明园这三个景点旅游.要走遍这三个景点，他一共有多 少种不同的游览顺序？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,3,枚举法一,兴趣篇,interest,30,5,★★,0.9931,False,63,medium,counting,,,枚举法一|counting,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,小王准备从青岛、三亚、桂林、杭州这4个地方中选2个去旅游，小王有多少种不同 的选择？如果小王想去其中的3个地方，又有多少种选择？,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
